"","dst","lambda","tr","ol"
"1",1,10,0.291181030052588,0.34149169921875
"2",2,10,0.292496953554587,0.34149169921875
"3",3,10,0.290857446469969,0.34149169921875
"4",4,10,0.289252482059792,0.34149169921875
"5",5,10,0.294602278763633,0.34149169921875
"6",6,10,0.294531161492728,0.34149169921875
"7",1,1010,3.61814667213305,34.4906616210938
"8",2,1010,3.78627779373167,34.4906616210938
"9",3,1010,3.76639052123003,34.4906616210938
"10",4,1010,3.62190058555245,34.4906616210938
"11",5,1010,3.63138213517749,34.4906616210938
"12",6,1010,3.78823269735981,34.4906616210938
"13",1,1060,3.6104678256789,36.1981201171875
"14",2,1060,3.7961349756409,36.1981201171875
"15",3,1060,3.80193174149259,36.1981201171875
"16",4,1060,3.61490199297687,36.1981201171875
"17",5,1060,3.64435095712794,36.1981201171875
"18",6,1060,3.81390394233491,36.1981201171875
"19",1,110,3.02741887080205,3.75640869140625
"20",2,110,3.03241038000562,3.75640869140625
"21",3,110,3.00708458079946,3.75640869140625
"22",4,110,3.01888801103109,3.75640869140625
"23",5,110,2.99616999372606,3.75640869140625
"24",6,110,3.02793717190547,3.75640869140625
"25",1,1110,3.62437026825269,37.9055786132812
"26",2,1110,3.78111025315844,37.9055786132812
"27",3,1110,3.7963674593818,37.9055786132812
"28",4,1110,3.61021804854533,37.9055786132812
"29",5,1110,3.60575436078268,37.9055786132812
"30",6,1110,3.75146202807041,37.9055786132812
"31",1,1160,3.60396358887989,39.613037109375
"32",2,1160,3.7675547162603,39.613037109375
"33",3,1160,3.74555819134829,39.613037109375
"34",4,1160,3.58487967394323,39.613037109375
"35",5,1160,3.58583257271015,39.613037109375
"36",6,1160,3.76320118703932,39.613037109375
"37",1,1210,3.64978337872142,41.3204956054688
"38",2,1210,3.81821873325407,41.3204956054688
"39",3,1210,3.79006631998493,41.3204956054688
"40",4,1210,3.63386721987364,41.3204956054688
"41",5,1210,3.63288201256556,41.3204956054688
"42",6,1210,3.79406818425957,41.3204956054688
"43",1,1260,3.58721414735584,43.0279541015625
"44",2,1260,3.74739605767069,43.0279541015625
"45",3,1260,3.74228005706452,43.0279541015625
"46",4,1260,3.58377813382549,43.0279541015625
"47",5,1260,3.57714032839617,43.0279541015625
"48",6,1260,3.78349975812581,43.0279541015625
"49",1,1310,3.61018886371514,44.7354125976562
"50",2,1310,3.74494504146999,44.7354125976562
"51",3,1310,3.76005985654023,44.7354125976562
"52",4,1310,3.57417667367515,44.7354125976562
"53",5,1310,3.58739762281296,44.7354125976562
"54",6,1310,3.7556785590669,44.7354125976562
"55",1,1360,3.57946890386624,46.44287109375
"56",2,1360,3.74927491395297,46.44287109375
"57",3,1360,3.71924534474708,46.44287109375
"58",4,1360,3.53943185184922,46.44287109375
"59",5,1360,3.5605978394837,46.44287109375
"60",6,1360,3.75398886534905,46.44287109375
"61",1,1410,3.60014320303201,48.1503295898438
"62",2,1410,3.76702111406198,48.1503295898438
"63",3,1410,3.76034155220897,48.1503295898438
"64",4,1410,3.57046448428813,48.1503295898438
"65",5,1410,3.60415653505571,48.1503295898438
"66",6,1410,3.74718969455703,48.1503295898438
"67",1,1460,3.61270614871935,49.8577880859375
"68",2,1460,3.77708344815898,49.8577880859375
"69",3,1460,3.78026844557248,49.8577880859375
"70",4,1460,3.59236987411319,49.8577880859375
"71",5,1460,3.58681774511834,49.8577880859375
"72",6,1460,3.76637464457507,49.8577880859375
"73",1,1510,3.58300646370398,51.5652465820312
"74",2,1510,3.7202982269972,51.5652465820312
"75",3,1510,3.75812401475228,51.5652465820312
"76",4,1510,3.57925025721102,51.5652465820312
"77",5,1510,3.56979641698292,51.5652465820312
"78",6,1510,3.75191495709991,51.5652465820312
"79",1,160,4.05972420445812,5.4638671875
"80",2,160,4.12688527513982,5.4638671875
"81",3,160,4.08411427615667,5.4638671875
"82",4,160,4.04096562346602,5.4638671875
"83",5,160,4.05012289935826,5.4638671875
"84",6,160,4.11553379306011,5.4638671875
"85",1,210,4.56759987210612,7.17132568359375
"86",2,210,4.62438754821816,7.17132568359375
"87",3,210,4.61738203942345,7.17132568359375
"88",4,210,4.53483264548718,7.17132568359375
"89",5,210,4.53535983246694,7.17132568359375
"90",6,210,4.64827295849937,7.17132568359375
"91",1,260,4.6399515608141,8.8787841796875
"92",2,260,4.74288792383167,8.8787841796875
"93",3,260,4.73076162222095,8.8787841796875
"94",4,260,4.63382139911441,8.8787841796875
"95",5,260,4.60621189340651,8.8787841796875
"96",6,260,4.75355270130682,8.8787841796875
"97",1,310,4.51607960558382,10.5862426757812
"98",2,310,4.62204466181332,10.5862426757812
"99",3,310,4.62737526291256,10.5862426757812
"100",4,310,4.48793100039941,10.5862426757812
"101",5,310,4.47076123115103,10.5862426757812
"102",6,310,4.63475484321396,10.5862426757812
"103",1,360,4.28642004348001,12.293701171875
"104",2,360,4.44065206348543,12.293701171875
"105",3,360,4.43812113909062,12.293701171875
"106",4,360,4.27871867858373,12.293701171875
"107",5,360,4.29245311416107,12.293701171875
