"","dst","lambda","cr","ol"
"74",4,10,0,0.56915283203125
"75",5,10,0,0.56915283203125
"76",6,10,0.0218303946263644,0.56915283203125
"77",7,10,0,0.56915283203125
"78",8,10,0.0133037694013304,0.56915283203125
"79",9,10,0.0242024202420242,0.56915283203125
"80",10,10,0,0.56915283203125
"81",1,10,0,0.56915283203125
"82",2,10,0.0398351648351648,0.56915283203125
"83",3,10,0.00898876404494382,0.56915283203125
"84",4,10,0,0.56915283203125
"85",5,10,0,0.56915283203125
"86",6,10,0.0239316239316239,0.56915283203125
"87",7,10,0,0.56915283203125
"88",8,10,0.00892857142857143,0.56915283203125
"89",9,10,0.0292792792792793,0.56915283203125
"90",10,10,0,0.56915283203125
"91",1,10,0,0.56915283203125
"92",2,10,0.0346858638743456,0.56915283203125
"93",3,10,0.00215982721382289,0.56915283203125
"94",4,10,0,0.56915283203125
"95",5,10,0,0.56915283203125
"96",6,10,0.0199170124481328,0.56915283203125
"97",7,10,0,0.56915283203125
"98",8,10,0.0126448893572181,0.56915283203125
"99",9,10,0.0149413020277481,0.56915283203125
"100",10,10,0,0.56915283203125
"101",1,10,0,0.56915283203125
"102",2,10,0.0304635761589404,0.56915283203125
"103",3,10,0.00900900900900901,0.56915283203125
"104",4,10,0,0.56915283203125
"105",5,10,0,0.56915283203125
"106",6,10,0.0196399345335516,0.56915283203125
"107",7,10,0,0.56915283203125
"108",8,10,0.0108459869848156,0.56915283203125
"109",9,10,0.025527192008879,0.56915283203125
"110",10,10,0,0.56915283203125
"111",1,10,0,0.56915283203125
"112",2,10,0.0376275510204082,0.56915283203125
"113",3,10,0.0138248847926267,0.56915283203125
"114",4,10,0,0.56915283203125
"115",5,10,0,0.56915283203125
"116",6,10,0.0170794192997438,0.56915283203125
"117",7,10,0,0.56915283203125
"118",8,10,0.00441014332965821,0.56915283203125
"119",9,10,0.0205949656750572,0.56915283203125
"120",10,10,0,0.56915283203125
"121",1,10,0,0.56915283203125
"122",2,10,0.0370624571036376,0.56915283203125
"123",3,10,0.00702576112412178,0.56915283203125
"124",4,10,0,0.56915283203125
"125",5,10,0,0.56915283203125
"126",6,10,0.0343642611683849,0.56915283203125
"127",7,10,0,0.56915283203125
"128",8,10,0.0179775280898876,0.56915283203125
"129",9,10,0.0188457008244994,0.56915283203125
"130",10,10,0,0.56915283203125
"131",1,10,0,0.56915283203125
"132",2,10,0.0321944809461235,0.56915283203125
"133",3,10,0.0155902004454343,0.56915283203125
"134",4,10,0,0.56915283203125
"135",5,10,0,0.56915283203125
"136",6,10,0.0170357751277683,0.56915283203125
"137",7,10,0,0.56915283203125
"138",8,10,0,0.56915283203125
"139",9,10,0.0372093023255814,0.56915283203125
"140",10,10,0,0.56915283203125
"141",1,10,0,0.56915283203125
"142",2,10,0.0459317585301837,0.56915283203125
"143",3,10,0.00610997963340122,0.56915283203125
"144",4,10,0,0.56915283203125
"145",5,10,0,0.56915283203125
"146",6,10,0.0144346431435445,0.56915283203125
"147",7,10,0,0.56915283203125
"148",8,10,0.00834202294056309,0.56915283203125
"149",9,10,0.0188284518828452,0.56915283203125
"150",10,10,0,0.56915283203125
"151",1,10,0,0.56915283203125
"152",2,10,0.0446549391069012,0.56915283203125
"153",3,10,0.00688073394495413,0.56915283203125
"154",4,10,0,0.56915283203125
"155",5,10,0,0.56915283203125
"156",6,10,0.0162074554294976,0.56915283203125
"157",7,10,0,0.56915283203125
"158",8,10,0.00892857142857143,0.56915283203125
"159",9,10,0.019790454016298,0.56915283203125
"160",10,10,0,0.56915283203125
"161",1,10,0,0.56915283203125
"162",2,10,0.0425671250818599,0.56915283203125
"163",3,10,0.0136986301369863,0.56915283203125
"164",4,10,0,0.56915283203125
"165",5,10,0,0.56915283203125
"166",6,10,0.0181219110378913,0.56915283203125
"167",7,10,0,0.56915283203125
"168",8,10,0.00221238938053097,0.56915283203125
"169",9,10,0.0162224797219003,0.56915283203125
"170",10,10,0,0.56915283203125
"171",1,10,0,0.56915283203125
"172",2,10,0.0366350067842605,0.56915283203125
"173",3,10,0.0111731843575419,0.56915283203125
"174",4,10,0,0.56915283203125
"175",5,10,0,0.56915283203125
"176",6,10,0.0220713073005093,0.56915283203125
"177",7,10,0,0.56915283203125
"178",8,10,0.013437849944009,0.56915283203125
"179",9,10,0.0222469410456062,0.56915283203125
"180",10,10,0,0.56915283203125
"181",1,10,0,0.56915283203125
"182",2,10,0.0264725347452019,0.56915283203125
"183",3,10,0.0150375939849624,0.56915283203125
"184",4,10,0,0.56915283203125
"185",5,10,0,0.56915283203125
"186",6,10,0.0202360876897133,0.56915283203125
"187",7,10,0,0.56915283203125
"188",8,10,0.0044004400440044,0.56915283203125
"189",9,10,0.0200633579725449,0.56915283203125
"190",10,10,0,0.56915283203125
"191",1,10,0,0.56915283203125
"192",2,10,0.0478436657681941,0.56915283203125
"193",3,10,0.00903954802259887,0.56915283203125
"194",4,10,0,0.56915283203125
"195",5,10,0,0.56915283203125
"196",6,10,0.0188517566409597,0.56915283203125
"197",7,10,0,0.56915283203125
"198",8,10,0.00666666666666667,0.56915283203125
"199",9,10,0.0175438596491228,0.56915283203125
"200",10,10,0,0.56915283203125
"201",1,10,0,0.56915283203125
"202",2,10,0.0262984878369494,0.56915283203125
"203",3,10,0,0.56915283203125
"204",4,10,0,0.56915283203125
"205",5,10,0,0.56915283203125
"206",6,10,0.0144230769230769,0.56915283203125
"207",7,10,0,0.56915283203125
"208",8,10,0.00631578947368421,0.56915283203125
"209",9,10,0.0193548387096774,0.56915283203125
"210",10,10,0,0.56915283203125
"211",1,1010,0.0850358917725014,57.4844360351562
"212",2,1010,0.982467725854278,57.4844360351562
"213",3,1010,0.745806987858818,57.4844360351562
"214",4,1010,0.0491001697792869,57.4844360351562
"215",5,1010,0.0865727179162378,57.4844360351562
"216",6,1010,0.973759909020972,57.4844360351562
"217",7,1010,0.0062111801242236,57.4844360351562
"218",8,1010,0.732734022642899,57.4844360351562
"219",9,1010,0.29402889804445,57.4844360351562
"220",10,1010,0.0852661108696511,57.4844360351562
"221",1,1010,0.0843301673091444,57.4844360351562
"222",2,1010,0.982958896286779,57.4844360351562
"223",3,1010,0.745479460216271,57.4844360351562
"224",4,1010,0.0474587912087912,57.4844360351562
"225",5,1010,0.0841527009275108,57.4844360351562
"226",6,1010,0.975283867623204,57.4844360351562
"227",7,1010,0.00872938894277401,57.4844360351562
"228",8,1010,0.733532014255868,57.4844360351562
"229",9,1010,0.294200682272674,57.4844360351562
"230",10,1010,0.0839416058394161,57.4844360351562
"231",1,1010,0.0874757011941127,57.4844360351562
"232",2,1010,0.983258042258472,57.4844360351562
"233",3,1010,0.740432761087268,57.4844360351562
"234",4,1010,0.0470757037441924,57.4844360351562
"235",5,1010,0.0856812195705962,57.4844360351562
"236",6,1010,0.973416024136775,57.4844360351562
"237",7,1010,0.00888681010289991,57.4844360351562
"238",8,1010,0.732487997045427,57.4844360351562
"239",9,1010,0.301625211160948,57.4844360351562
"240",10,1010,0.0867793122551541,57.4844360351562
"241",1,1010,0.0837405422446406,57.4844360351562
"242",2,1010,0.982966256595066,57.4844360351562
"243",3,1010,0.748139991667163,57.4844360351562
"244",4,1010,0.0446934917634351,57.4844360351562
"245",5,1010,0.0851374265546749,57.4844360351562
"246",6,1010,0.974180369043234,57.4844360351562
"247",7,1010,0.010406811731315,57.4844360351562
"248",8,1010,0.734558056799362,57.4844360351562
"249",9,1010,0.293011992619926,57.4844360351562
"250",10,1010,0.084054192834854,57.4844360351562
"251",1,1010,0.0864017067003793,57.4844360351562
"252",2,1010,0.983033685986889,57.4844360351562
"253",3,1010,0.743411722996927,57.4844360351562
"254",4,1010,0.0457661150730458,57.4844360351562
"255",5,1010,0.0845796802475503,57.4844360351562
"256",6,1010,0.975215319006606,57.4844360351562
"257",7,1010,0.00773694390715667,57.4844360351562
"258",8,1010,0.730613381174797,57.4844360351562
"259",9,1010,0.294469270500841,57.4844360351562
"260",10,1010,0.0867243234625961,57.4844360351562
"261",1,1010,0.0857379375591296,57.4844360351562
"262",2,1010,0.983518200281206,57.4844360351562
"263",3,1010,0.743464148716436,57.4844360351562
"264",4,1010,0.0451045104510451,57.4844360351562
"265",5,1010,0.0848480038098262,57.4844360351562
"266",6,1010,0.97262471797443,57.4844360351562
"267",7,1010,0.00514740290126345,57.4844360351562
"268",8,1010,0.727511998761418,57.4844360351562
"269",9,1010,0.294931672720983,57.4844360351562
"270",10,1010,0.0838077795915117,57.4844360351562
"271",1,1010,0.0835424883470778,57.4844360351562
"272",2,1010,0.983317562575343,57.4844360351562
"273",3,1010,0.74536140810674,57.4844360351562
"274",4,1010,0.04699882847495,57.4844360351562
"275",5,1010,0.0850818629788587,57.4844360351562
"276",6,1010,0.975407645014702,57.4844360351562
"277",7,1010,0.0113188976377953,57.4844360351562
"278",8,1010,0.73416551086454,57.4844360351562
"279",9,1010,0.293044603977875,57.4844360351562
"280",10,1010,0.0845449863317618,57.4844360351562
"281",1,1010,0.0840062050037787,57.4844360351562
"282",2,1010,0.982654070372684,57.4844360351562
"283",3,1010,0.74257484146881,57.4844360351562
"284",4,1010,0.0475962851679869,57.4844360351562
"285",5,1010,0.0850735031897611,57.4844360351562
"286",6,1010,0.973846256818714,57.4844360351562
"287",7,1010,0.00566839867737364,57.4844360351562
"288",8,1010,0.725799981485482,57.4844360351562
"289",9,1010,0.292953695714697,57.4844360351562
"290",10,1010,0.0872155367568212,57.4844360351562
"291",1,1010,0.0888465809931779,57.4844360351562
"292",2,1010,0.982787715153561,57.4844360351562
"293",3,1010,0.74215106781121,57.4844360351562
"294",4,1010,0.0487405283637108,57.4844360351562
"295",5,1010,0.0889892626490748,57.4844360351562
"296",6,1010,0.975014682439802,57.4844360351562
"297",7,1010,0.00647249190938511,57.4844360351562
"298",8,1010,0.727516654330126,57.4844360351562
"299",9,1010,0.295733117483811,57.4844360351562
"300",10,1010,0.0863235757003462,57.4844360351562
"301",1,1010,0.08590695076211,57.4844360351562
"302",2,1010,0.983464187596839,57.4844360351562
"303",3,1010,0.742756960746442,57.4844360351562
"304",4,1010,0.0490196078431373,57.4844360351562
"305",5,1010,0.08666587555872,57.4844360351562
"306",6,1010,0.974043853463618,57.4844360351562
"307",7,1010,0.00895803866100896,57.4844360351562
"308",8,1010,0.731653854465747,57.4844360351562
"309",9,1010,0.295729764181007,57.4844360351562
"310",10,1010,0.0865338835105539,57.4844360351562
"311",1,1010,0.0920145765665848,57.4844360351562
"312",2,1010,0.982748990010522,57.4844360351562
"313",3,1010,0.741340997303784,57.4844360351562
"314",4,1010,0.0455738157713023,57.4844360351562
"315",5,1010,0.0918193015217132,57.4844360351562
"316",6,1010,0.973756882960384,57.4844360351562
"317",7,1010,0.0072926162260711,57.4844360351562
"318",8,1010,0.724910504875941,57.4844360351562
"319",9,1010,0.30463347164592,57.4844360351562
"320",10,1010,0.0897835258862032,57.4844360351562
"321",1,1010,0.0844698462751281,57.4844360351562
"322",2,1010,0.983370920496669,57.4844360351562
"323",3,1010,0.741265176477573,57.4844360351562
"324",4,1010,0.0454044370952184,57.4844360351562
"325",5,1010,0.084838187062868,57.4844360351562
"326",6,1010,0.975151322077095,57.4844360351562
"327",7,1010,0.0087036188731104,57.4844360351562
"328",8,1010,0.731353420597678,57.4844360351562
"329",9,1010,0.302257284348727,57.4844360351562
