"","dst","lambda","tr","ol"
"96",6,10,0.0763783786537537,0.56915283203125
"97",7,10,0.00230889284917964,0.56915283203125
"98",8,10,0.0723821397982923,0.56915283203125
"99",9,10,0.0422420709882091,0.56915283203125
"100",10,10,0.126614451374568,0.56915283203125
"101",1,10,0.131208147493363,0.56915283203125
"102",2,10,0.093057707285245,0.56915283203125
"103",3,10,0.0597079649400374,0.56915283203125
"104",4,10,0.067681428290134,0.56915283203125
"105",5,10,0.124502265580999,0.56915283203125
"106",6,10,0.0802128989913058,0.56915283203125
"107",7,10,0.00370007733227331,0.56915283203125
"108",8,10,0.0563692550505177,0.56915283203125
"109",9,10,0.0398843432052404,0.56915283203125
"110",10,10,0.136065769622924,0.56915283203125
"111",1,10,0.135464320246083,0.56915283203125
"112",2,10,0.0989175386074595,0.56915283203125
"113",3,10,0.0692765747506753,0.56915283203125
"114",4,10,0.0671187927201005,0.56915283203125
"115",5,10,0.117611451575772,0.56915283203125
"116",6,10,0.0803769357091876,0.56915283203125
"117",7,10,0.00298255461301668,0.56915283203125
"118",8,10,0.0717419939035542,0.56915283203125
"119",9,10,0.0432657289370801,0.56915283203125
"120",10,10,0.140799154739727,0.56915283203125
"121",1,10,0.140860022383489,0.56915283203125
"122",2,10,0.0986804987789791,0.56915283203125
"123",3,10,0.0650639477886211,0.56915283203125
"124",4,10,0.0613820805816454,0.56915283203125
"125",5,10,0.119867125061683,0.56915283203125
"126",6,10,0.090582018043514,0.56915283203125
"127",7,10,0.00241347641180917,0.56915283203125
"128",8,10,0.0618389453358876,0.56915283203125
"129",9,10,0.0409889294786801,0.56915283203125
"130",10,10,0.144867313566775,0.56915283203125
"131",1,10,0.134844775281333,0.56915283203125
"132",2,10,0.092787427402726,0.56915283203125
"133",3,10,0.0658720971487217,0.56915283203125
"134",4,10,0.0625338896713944,0.56915283203125
"135",5,10,0.109405779038429,0.56915283203125
"136",6,10,0.0812006579243226,0.56915283203125
"137",7,10,0.0048648623929196,0.56915283203125
"138",8,10,0.0649736911013405,0.56915283203125
"139",9,10,0.0423940913051363,0.56915283203125
"140",10,10,0.133007045683423,0.56915283203125
"141",1,10,0.121289371934417,0.56915283203125
"142",2,10,0.0976656344944131,0.56915283203125
"143",3,10,0.0665935344312299,0.56915283203125
"144",4,10,0.0617721507386197,0.56915283203125
"145",5,10,0.130755396787522,0.56915283203125
"146",6,10,0.0789914508710282,0.56915283203125
"147",7,10,0.00408847437238751,0.56915283203125
"148",8,10,0.0635535628788557,0.56915283203125
"149",9,10,0.0422305300259635,0.56915283203125
"150",10,10,0.129212014877588,0.56915283203125
"151",1,10,0.146973753130616,0.56915283203125
"152",2,10,0.103047935131539,0.56915283203125
"153",3,10,0.0737731151854998,0.56915283203125
"154",4,10,0.0651026502200045,0.56915283203125
"155",5,10,0.123639590971879,0.56915283203125
"156",6,10,0.0781926699592001,0.56915283203125
"157",7,10,0.00275723732103278,0.56915283203125
"158",8,10,0.0694693765704574,0.56915283203125
"159",9,10,0.0377293995280711,0.56915283203125
"160",10,10,0.142040391144273,0.56915283203125
"161",1,10,0.132666241298762,0.56915283203125
"162",2,10,0.0973472482627718,0.56915283203125
"163",3,10,0.0612153159931332,0.56915283203125
"164",4,10,0.0584784799056269,0.56915283203125
"165",5,10,0.122958266928343,0.56915283203125
"166",6,10,0.077811024183331,0.56915283203125
"167",7,10,0.00336770948090063,0.56915283203125
"168",8,10,0.0587414073900161,0.56915283203125
"169",9,10,0.0368848609749351,0.56915283203125
"170",10,10,0.12977403897048,0.56915283203125
"171",1,10,0.138703497278375,0.56915283203125
"172",2,10,0.0977168321673983,0.56915283203125
"173",3,10,0.0648389454233863,0.56915283203125
"174",4,10,0.0634144921667884,0.56915283203125
"175",5,10,0.130385921174637,0.56915283203125
"176",6,10,0.0791165397503651,0.56915283203125
"177",7,10,0.00509151119391013,0.56915283203125
"178",8,10,0.0632176475282226,0.56915283203125
"179",9,10,0.0411624010867504,0.56915283203125
"180",10,10,0.13699496719842,0.56915283203125
"181",1,10,0.129565421136733,0.56915283203125
"182",2,10,0.0931855847113267,0.56915283203125
"183",3,10,0.0631139410349512,0.56915283203125
"184",4,10,0.065772335619014,0.56915283203125
"185",5,10,0.117032372485042,0.56915283203125
"186",6,10,0.080807776343575,0.56915283203125
"187",7,10,0.0052166833221807,0.56915283203125
"188",8,10,0.0629876653866401,0.56915283203125
"189",9,10,0.0421908029294778,0.56915283203125
"190",10,10,0.131763684535501,0.56915283203125
"191",1,10,0.136753149952062,0.56915283203125
"192",2,10,0.0988566448803438,0.56915283203125
"193",3,10,0.0573610715844829,0.56915283203125
"194",4,10,0.0651198937353424,0.56915283203125
"195",5,10,0.115204765147871,0.56915283203125
"196",6,10,0.0757960614941988,0.56915283203125
"197",7,10,0.00361712204948631,0.56915283203125
"198",8,10,0.0597640103098007,0.56915283203125
"199",9,10,0.040039061865319,0.56915283203125
"200",10,10,0.130671045045091,0.56915283203125
"201",1,10,0.140247952460943,0.56915283203125
"202",2,10,0.0976089438320339,0.56915283203125
"203",3,10,0.0630104397852013,0.56915283203125
"204",4,10,0.0582178199957264,0.56915283203125
"205",5,10,0.1242462778349,0.56915283203125
"206",6,10,0.0720713594359945,0.56915283203125
"207",7,10,0.00436314531873943,0.56915283203125
"208",8,10,0.0626112243209889,0.56915283203125
"209",9,10,0.0363181818713348,0.56915283203125
"210",10,10,0.132162186507765,0.56915283203125
"211",1,1010,3.77710164638658,57.4844360351562
"212",2,1010,0.0711914015039066,57.4844360351562
"213",3,1010,0.821483048668708,57.4844360351562
"214",4,1010,1.90424308797559,57.4844360351562
"215",5,1010,3.4966456307412,57.4844360351562
"216",6,1010,0.0751492768097097,57.4844360351562
"217",7,1010,0.0213432297782899,57.4844360351562
"218",8,1010,0.725042676273197,57.4844360351562
"219",9,1010,0.753328654612074,57.4844360351562
"220",10,1010,3.57685116128284,57.4844360351562
"221",1,1010,3.78185696286856,57.4844360351562
"222",2,1010,0.0788709456858526,57.4844360351562
"223",3,1010,0.829438100306647,57.4844360351562
"224",4,1010,1.89544351603106,57.4844360351562
"225",5,1010,3.45835348788626,57.4844360351562
"226",6,1010,0.0770793258405046,57.4844360351562
"227",7,1010,0.0264701977605233,57.4844360351562
"228",8,1010,0.710003813216602,57.4844360351562
"229",9,1010,0.796205268773591,57.4844360351562
"230",10,1010,3.58757416459854,57.4844360351562
"231",1,1010,3.80506371231374,57.4844360351562
"232",2,1010,0.0788504068771445,57.4844360351562
"233",3,1010,0.817988761523678,57.4844360351562
"234",4,1010,1.87784569300835,57.4844360351562
"235",5,1010,3.46939043664862,57.4844360351562
"236",6,1010,0.0726481894260807,57.4844360351562
"237",7,1010,0.0226675432937602,57.4844360351562
"238",8,1010,0.707461218207011,57.4844360351562
"239",9,1010,0.752576322914296,57.4844360351562
"240",10,1010,3.61233364516805,57.4844360351562
"241",1,1010,3.76003903350066,57.4844360351562
"242",2,1010,0.0794646898938115,57.4844360351562
"243",3,1010,0.837183299566784,57.4844360351562
"244",4,1010,1.88779145069397,57.4844360351562
"245",5,1010,3.52151322965968,57.4844360351562
"246",6,1010,0.0722134619186517,57.4844360351562
"247",7,1010,0.0194798709515412,57.4844360351562
"248",8,1010,0.70314404654186,57.4844360351562
"249",9,1010,0.77470722999341,57.4844360351562
"250",10,1010,3.56528304857754,57.4844360351562
"251",1,1010,3.77225830084538,57.4844360351562
"252",2,1010,0.0754500437372913,57.4844360351562
"253",3,1010,0.831505604162676,57.4844360351562
"254",4,1010,1.89160132708362,57.4844360351562
"255",5,1010,3.50303153244615,57.4844360351562
"256",6,1010,0.0769581189132781,57.4844360351562
"257",7,1010,0.0217877444438994,57.4844360351562
"258",8,1010,0.696551695062445,57.4844360351562
"259",9,1010,0.769036705329782,57.4844360351562
"260",10,1010,3.61597542767519,57.4844360351562
"261",1,1010,3.77379923182873,57.4844360351562
"262",2,1010,0.0800837759479661,57.4844360351562
"263",3,1010,0.817295646569843,57.4844360351562
"264",4,1010,1.87671767315875,57.4844360351562
"265",5,1010,3.5114976667886,57.4844360351562
"266",6,1010,0.070648242813145,57.4844360351562
"267",7,1010,0.0219876761172847,57.4844360351562
"268",8,1010,0.686829348374945,57.4844360351562
"269",9,1010,0.782821694622322,57.4844360351562
"270",10,1010,3.61227288381563,57.4844360351562
"271",1,1010,3.7976944037738,57.4844360351562
"272",2,1010,0.0757407839126708,57.4844360351562
"273",3,1010,0.827473373030833,57.4844360351562
"274",4,1010,1.90343322910522,57.4844360351562
"275",5,1010,3.52362275640376,57.4844360351562
"276",6,1010,0.0746088365301633,57.4844360351562
"277",7,1010,0.0206486937261996,57.4844360351562
"278",8,1010,0.721631587974969,57.4844360351562
"279",9,1010,0.785929301920597,57.4844360351562
"280",10,1010,3.58469476363186,57.4844360351562
"281",1,1010,3.78092410321446,57.4844360351562
"282",2,1010,0.0765602665493021,57.4844360351562
"283",3,1010,0.835539042914309,57.4844360351562
"284",4,1010,1.8857431091702,57.4844360351562
"285",5,1010,3.49455877344169,57.4844360351562
"286",6,1010,0.0785179836078699,57.4844360351562
"287",7,1010,0.0268622787773807,57.4844360351562
"288",8,1010,0.70345163391662,57.4844360351562
"289",9,1010,0.776032887592663,57.4844360351562
"290",10,1010,3.57956992825498,57.4844360351562
"291",1,1010,3.79335302144007,57.4844360351562
"292",2,1010,0.0730260067164132,57.4844360351562
"293",3,1010,0.828320909775271,57.4844360351562
"294",4,1010,1.86985334510485,57.4844360351562
"295",5,1010,3.52525894867542,57.4844360351562
"296",6,1010,0.0698445498331734,57.4844360351562
"297",7,1010,0.0218320167110706,57.4844360351562
"298",8,1010,0.71020035844821,57.4844360351562
"299",9,1010,0.776238349797903,57.4844360351562
"300",10,1010,3.61063668835443,57.4844360351562
"301",1,1010,3.79566501826999,57.4844360351562
"302",2,1010,0.0758161828157765,57.4844360351562
"303",3,1010,0.825940661444125,57.4844360351562
"304",4,1010,1.89718782235303,57.4844360351562
"305",5,1010,3.54359299515215,57.4844360351562
"306",6,1010,0.0750173815604956,57.4844360351562
"307",7,1010,0.0186893045047249,57.4844360351562
"308",8,1010,0.69022201391165,57.4844360351562
"309",9,1010,0.768425445178023,57.4844360351562
"310",10,1010,3.58830806344602,57.4844360351562
"311",1,1010,3.76867752381994,57.4844360351562
"312",2,1010,0.0764099070153812,57.4844360351562
"313",3,1010,0.809845171026598,57.4844360351562
"314",4,1010,1.9005263015209,57.4844360351562
"315",5,1010,3.51828386375503,57.4844360351562
"316",6,1010,0.0799809720442373,57.4844360351562
"317",7,1010,0.0260032636473085,57.4844360351562
"318",8,1010,0.704549106675893,57.4844360351562
"319",9,1010,0.779351500370707,57.4844360351562
"320",10,1010,3.53198879855101,57.4844360351562
"321",1,1010,3.79471952430643,57.4844360351562
"322",2,1010,0.0720161004454307,57.4844360351562
"323",3,1010,0.830979027851789,57.4844360351562
"324",4,1010,1.9153098730994,57.4844360351562
"325",5,1010,3.52544700652151,57.4844360351562
"326",6,1010,0.0743453449682773,57.4844360351562
"327",7,1010,0.0224949224832267,57.4844360351562
"328",8,1010,0.713193615853758,57.4844360351562
"329",9,1010,0.76276362173914,57.4844360351562
"330",10,1010,3.54211945347787,57.4844360351562
"331",1,1010,3.7662747026655,57.4844360351562
"332",2,1010,0.0663692927376379,57.4844360351562
"333",3,1010,0.832507823338008,57.4844360351562
"334",4,1010,1.88434215839988,57.4844360351562
"335",5,1010,3.53281653519359,57.4844360351562
"336",6,1010,0.0637661465341224,57.4844360351562
"337",7,1010,0.0227889733584433,57.4844360351562
"338",8,1010,0.675268993421497,57.4844360351562
"339",9,1010,0.776321470922269,57.4844360351562
"340",10,1010,3.59771513679261,57.4844360351562
"341",1,1010,3.79479110363019,57.4844360351562
"342",2,1010,0.0790224327915246,57.4844360351562
"343",3,1010,0.819493817098204,57.4844360351562
"344",4,1010,1.89047198451014,57.4844360351562
"345",5,1010,3.48919436175691,57.4844360351562
"346",6,1010,0.0769663053452711,57.4844360351562
"347",7,1010,0.0215345335518136,57.4844360351562
"348",8,1010,0.691844288095091,57.4844360351562
"349",9,1010,0.781743978400989,57.4844360351562
"350",10,1010,3.58236630832142,57.4844360351562
"351",1,1010,3.74719568888346,57.4844360351562
"352",2,1010,0.0825281778971354,57.4844360351562
"353",3,1010,0.828294372558594,57.4844360351562
"354",4,1010,1.86390533447266,57.4844360351562
"355",5,1010,3.48944854736328,57.4844360351562
"356",6,1010,0.0762039184570313,57.4844360351562
"357",7,1010,0.0255760192871094,57.4844360351562
"358",8,1010,0.711527252197266,57.4844360351562
"359",9,1010,0.768329366048177,57.4844360351562
"360",10,1010,3.63519515991211,57.4844360351562
"361",1,1010,3.78986763888311,57.4844360351562
"362",2,1010,0.0772931932117382,57.4844360351562
"363",3,1010,0.80389076419866,57.4844360351562
"364",4,1010,1.89833297128448,57.4844360351562
"365",5,1010,3.49721683953453,57.4844360351562
"366",6,1010,0.078775331244101,57.4844360351562
"367",7,1010,0.0262540356504769,57.4844360351562
"368",8,1010,0.692540694034291,57.4844360351562
"369",9,1010,0.787102270340316,57.4844360351562
"370",10,1010,3.59079218878333,57.4844360351562
"371",1,1010,3.78490388189774,57.4844360351562
"372",2,1010,0.0722418284519867,57.4844360351562
"373",3,1010,0.837780195012088,57.4844360351562
"374",4,1010,1.89415532100918,57.4844360351562
"375",5,1010,3.52725226191574,57.4844360351562
"376",6,1010,0.0772347309189941,57.4844360351562
"377",7,1010,0.0221658115939675,57.4844360351562
"378",8,1010,0.712637454851396,57.4844360351562
"379",9,1010,0.759679786917028,57.4844360351562
"380",10,1010,3.60161937361108,57.4844360351562
"381",1,1010,3.74374577308736,57.4844360351562
"382",2,1010,0.0738991103920885,57.4844360351562
"383",3,1010,0.830460717532327,57.4844360351562
"384",4,1010,1.91111100677766,57.4844360351562
"385",5,1010,3.54069418159899,57.4844360351562
"386",6,1010,0.0831876479457672,57.4844360351562
"387",7,1010,0.0266344821633537,57.4844360351562
"388",8,1010,0.695874833609563,57.4844360351562
"389",9,1010,0.77036852840644,57.4844360351562
"390",10,1010,3.61844334045305,57.4844360351562
"391",1,1010,3.80787862051012,57.4844360351562
"392",2,1010,0.0747339984085435,57.4844360351562
"393",3,1010,0.817410895934734,57.4844360351562
"394",4,1010,1.86184055993161,57.4844360351562
"395",5,1010,3.51027421071234,57.4844360351562
"396",6,1010,0.0765103760054199,57.4844360351562
"397",7,1010,0.0217107165991893,57.4844360351562
"398",8,1010,0.709422142522562,57.4844360351562
"399",9,1010,0.785783491001601,57.4844360351562
"400",10,1010,3.54028952436608,57.4844360351562
"401",1,1010,3.79330749226522,57.4844360351562
"402",2,1010,0.0730519710032836,57.4844360351562
"403",3,1010,0.815400041581334,57.4844360351562
"404",4,1010,1.89169235020742,57.4844360351562
"405",5,1010,3.46485463881981,57.4844360351562
"406",6,1010,0.0764264526543864,57.4844360351562
"407",7,1010,0.0214380928649228,57.4844360351562
"408",8,1010,0.680528095701272,57.4844360351562
"409",9,1010,0.792601373176928,57.4844360351562
"410",10,1010,3.61136853368052,57.4844360351562
"411",1,1010,3.80233439215646,57.4844360351562
"412",2,1010,0.0687712731831518,57.4844360351562
"413",3,1010,0.825609792892914,57.4844360351562
"414",4,1010,1.89332184182508,57.4844360351562
"415",5,1010,3.5106471270243,57.4844360351562
"416",6,1010,0.0702623202830964,57.4844360351562
"417",7,1010,0.0214166040299565,57.4844360351562
"418",8,1010,0.710450755054944,57.4844360351562
"419",9,1010,0.781212549413479,57.4844360351562
"420",10,1010,3.62419228376108,57.4844360351562
"421",1,1060,3.79299658065285,60.3302001953125
"422",2,1060,0.0598508657912627,60.3302001953125
