"","src","lambda","dr","ol"
"164",4,10,0,0.56915283203125
"165",5,10,0,0.56915283203125
"166",6,10,0,0.56915283203125
"167",7,10,0,0.56915283203125
"168",8,10,0,0.56915283203125
"169",9,10,0,0.56915283203125
"170",10,10,0,0.56915283203125
"171",1,10,0,0.56915283203125
"172",2,10,0,0.56915283203125
"173",3,10,0,0.56915283203125
"174",4,10,0,0.56915283203125
"175",5,10,0,0.56915283203125
"176",6,10,0,0.56915283203125
"177",7,10,0,0.56915283203125
"178",8,10,0,0.56915283203125
"179",9,10,0,0.56915283203125
"180",10,10,0,0.56915283203125
"181",1,10,0,0.56915283203125
"182",2,10,0,0.56915283203125
"183",3,10,0,0.56915283203125
"184",4,10,0,0.56915283203125
"185",5,10,0,0.56915283203125
"186",6,10,0,0.56915283203125
"187",7,10,0,0.56915283203125
"188",8,10,0,0.56915283203125
"189",9,10,0,0.56915283203125
"190",10,10,0,0.56915283203125
"191",1,10,0,0.56915283203125
"192",2,10,0,0.56915283203125
"193",3,10,0,0.56915283203125
"194",4,10,0,0.56915283203125
"195",5,10,0,0.56915283203125
"196",6,10,0,0.56915283203125
"197",7,10,0,0.56915283203125
"198",8,10,0,0.56915283203125
"199",9,10,0,0.56915283203125
"200",10,10,0,0.56915283203125
"201",1,10,0,0.56915283203125
"202",2,10,0,0.56915283203125
"203",3,10,0,0.56915283203125
"204",4,10,0,0.56915283203125
"205",5,10,0,0.56915283203125
"206",6,10,0,0.56915283203125
"207",7,10,0,0.56915283203125
"208",8,10,0,0.56915283203125
"209",9,10,0,0.56915283203125
"210",10,10,0,0.56915283203125
"211",1,1010,0.619875735560012,57.4844360351562
"212",2,1010,0.931270913982022,57.4844360351562
"213",3,1010,0.61745994737368,57.4844360351562
"214",4,1010,0.390316855114383,57.4844360351562
"215",5,1010,0.617973845498345,57.4844360351562
"216",6,1010,0.89306082083402,57.4844360351562
"217",7,1010,0.192783369515163,57.4844360351562
"218",8,1010,0.605431574758763,57.4844360351562
"219",9,1010,0.41664762526522,57.4844360351562
"220",10,1010,0.616472298391093,57.4844360351562
"221",1,1010,0.622788116225922,57.4844360351562
"222",2,1010,0.931351027738974,57.4844360351562
