"","dst","lambda","cr","ol"
"86",6,10,0.66382252559727,0.56915283203125
"87",7,10,0.942238267148014,0.56915283203125
"88",8,10,0.619324796274738,0.56915283203125
"89",9,10,0.776595744680851,0.56915283203125
"90",10,10,0.23943661971831,0.56915283203125
"91",1,10,0.260770975056689,0.56915283203125
"92",2,10,0.666440217391304,0.56915283203125
"93",3,10,0.623376623376623,0.56915283203125
"94",4,10,0.471103327495622,0.56915283203125
"95",5,10,0.329185520361991,0.56915283203125
"96",6,10,0.651414309484193,0.56915283203125
"97",7,10,0.956953642384106,0.56915283203125
"98",8,10,0.600451467268623,0.56915283203125
"99",9,10,0.763358778625954,0.56915283203125
"100",10,10,0.238789237668161,0.56915283203125
"101",1,10,0.247747747747748,0.56915283203125
"102",2,10,0.686489980607628,0.56915283203125
"103",3,10,0.652370203160271,0.56915283203125
"104",4,10,0.419191919191919,0.56915283203125
"105",5,10,0.284424379232506,0.56915283203125
"106",6,10,0.6696,0.56915283203125
"107",7,10,0.939068100358423,0.56915283203125
"108",8,10,0.674291938997821,0.56915283203125
"109",9,10,0.761194029850746,0.56915283203125
"110",10,10,0.215488215488215,0.56915283203125
"111",1,10,0.248104008667389,0.56915283203125
"112",2,10,0.674834437086093,0.56915283203125
"113",3,10,0.618025751072961,0.56915283203125
"114",4,10,0.484304932735426,0.56915283203125
"115",5,10,0.363146551724138,0.56915283203125
"116",6,10,0.656351791530945,0.56915283203125
"117",7,10,0.95046439628483,0.56915283203125
"118",8,10,0.640946502057613,0.56915283203125
"119",9,10,0.77536231884058,0.56915283203125
"120",10,10,0.253177966101695,0.56915283203125
"121",1,10,0.262226847034339,0.56915283203125
"122",2,10,0.661140583554377,0.56915283203125
"123",3,10,0.643231899265477,0.56915283203125
"124",4,10,0.478114478114478,0.56915283203125
"125",5,10,0.346315789473684,0.56915283203125
"126",6,10,0.638364779874214,0.56915283203125
"127",7,10,0.967065868263473,0.56915283203125
"128",8,10,0.652076318742985,0.56915283203125
"129",9,10,0.784210526315789,0.56915283203125
"130",10,10,0.235233160621762,0.56915283203125
"131",1,10,0.261241970021413,0.56915283203125
"132",2,10,0.686363636363636,0.56915283203125
"133",3,10,0.625,0.56915283203125
"134",4,10,0.45114006514658,0.56915283203125
"135",5,10,0.333706606942889,0.56915283203125
"136",6,10,0.662085691188359,0.56915283203125
"137",7,10,0.912903225806452,0.56915283203125
"138",8,10,0.644637053087757,0.56915283203125
"139",9,10,0.776315789473684,0.56915283203125
"140",10,10,0.262135922330097,0.56915283203125
"141",1,10,0.273142857142857,0.56915283203125
"142",2,10,0.677014531043593,0.56915283203125
"143",3,10,0.623362445414847,0.56915283203125
"144",4,10,0.443708609271523,0.56915283203125
"145",5,10,0.275824175824176,0.56915283203125
"146",6,10,0.672171758876961,0.56915283203125
"147",7,10,0.933333333333333,0.56915283203125
"148",8,10,0.642619311875694,0.56915283203125
"149",9,10,0.766968325791855,0.56915283203125
"150",10,10,0.245594713656388,0.56915283203125
"151",1,10,0.242018537590113,0.56915283203125
"152",2,10,0.6756082345602,0.56915283203125
"153",3,10,0.599564744287269,0.56915283203125
"154",4,10,0.48,0.56915283203125
"155",5,10,0.317937701396348,0.56915283203125
"156",6,10,0.674856674856675,0.56915283203125
"157",7,10,0.954248366013072,0.56915283203125
"158",8,10,0.624468085106383,0.56915283203125
"159",9,10,0.789242590559824,0.56915283203125
"160",10,10,0.222105263157895,0.56915283203125
"161",1,10,0.256,0.56915283203125
"162",2,10,0.660869565217391,0.56915283203125
"163",3,10,0.637988826815643,0.56915283203125
"164",4,10,0.464716006884682,0.56915283203125
"165",5,10,0.323851203501094,0.56915283203125
"166",6,10,0.646076794657763,0.56915283203125
"167",7,10,0.949640287769784,0.56915283203125
"168",8,10,0.651428571428571,0.56915283203125
"169",9,10,0.775626423690205,0.56915283203125
"170",10,10,0.248587570621469,0.56915283203125
"171",1,10,0.256043956043956,0.56915283203125
"172",2,10,0.679012345679012,0.56915283203125
"173",3,10,0.626865671641791,0.56915283203125
"174",4,10,0.431542461005199,0.56915283203125
"175",5,10,0.315508021390374,0.56915283203125
"176",6,10,0.642050390964379,0.56915283203125
"177",7,10,0.921768707482993,0.56915283203125
"178",8,10,0.632941176470588,0.56915283203125
"179",9,10,0.76551724137931,0.56915283203125
"180",10,10,0.233223322332233,0.56915283203125
"181",1,10,0.269106566200215,0.56915283203125
"182",2,10,0.669817690749494,0.56915283203125
"183",3,10,0.628668171557562,0.56915283203125
"184",4,10,0.443123938879457,0.56915283203125
"185",5,10,0.360255047821467,0.56915283203125
"186",6,10,0.65020920502092,0.56915283203125
"187",7,10,0.931623931623932,0.56915283203125
"188",8,10,0.648709315375982,0.56915283203125
"189",9,10,0.767838125665602,0.56915283203125
"190",10,10,0.265111346765642,0.56915283203125
"191",1,10,0.25323275862069,0.56915283203125
"192",2,10,0.66038961038961,0.56915283203125
"193",3,10,0.644469525959368,0.56915283203125
"194",4,10,0.451986754966887,0.56915283203125
"195",5,10,0.320175438596491,0.56915283203125
"196",6,10,0.686274509803922,0.56915283203125
"197",7,10,0.934931506849315,0.56915283203125
"198",8,10,0.649888143176734,0.56915283203125
"199",9,10,0.768361581920904,0.56915283203125
"200",10,10,0.253246753246753,0.56915283203125
"201",1,10,0.250783699059561,0.56915283203125
"202",2,10,0.664897146648971,0.56915283203125
"203",3,10,0.625692137320044,0.56915283203125
"204",4,10,0.469011725293132,0.56915283203125
"205",5,10,0.349680170575693,0.56915283203125
"206",6,10,0.683209263854425,0.56915283203125
"207",7,10,0.924012158054711,0.56915283203125
"208",8,10,0.640969162995595,0.56915283203125
